Last Name,First Name,Position,Overall,Salary,Team,Age,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Boone,Alex,G,81,6700,MIN,29,2016,4326.66205,2373.33795,-0.780177912,-0.548537862
Lamur,Emmanuel,OLB,72,2750,MIN,27,2016,1645.171,1104.829,-0.667938597,-0.671558762
Sherels,Marcus,CB,69,2000,MIN,29,2016,975.3856164,1024.614384,-1.39437851,-1.050471082
Smith,Andre,RT,77,3500,MIN,29,2016,3924.425,-424.425,0.205795693,0.108149602
Greenway,Chad,OLB,78,2750,MIN,33,2016,2926.769114,-176.7691143,0.076549243,0.060397355
Newman,Terence,CB,80,2500,MIN,38,2016,4044.178517,-1544.178517,0.468000039,0.381827486
Harris,Mike,G,74,2000,MIN,28,2016,2111.719059,-111.7190588,0.062325828,0.052904319
Ellison,Rhett,TE,72,1750,MIN,28,2016,1279.490342,470.5096579,-0.474905236,-0.36773209
Asiata,Matt,RB,73,840,MIN,29,2016,853.4044528,-13.40445283,0.033077294,0.015707034
Trattou,Justin,DE,65,810,MIN,28,2016,898.8708333,-88.87083333,0.079391428,0.098869415
Hillman,Ronnie,RB,76,760,MIN,25,2016,1116.007289,-356.0072889,0.44253365,0.319000864
Mack,Alex,C,84,9000,ATL,31,2016,6170.8333,2829.1667,-1.029739113,-0.458474012
Sanu,Mohamed,WR,77,6500,ATL,27,2016,2839.567463,3660.432537,-1.659057746,-1.289081025
Shelby,Derrick,DE,72,4500,ATL,27,2016,1739.900909,2760.099091,-2.330121214,-1.586354186
Clayborn,Adrian,DE,77,4250,ATL,28,2016,3292.303621,957.6963793,-0.411975007,-0.290889447
Schaub,Matt,QB,70,2750,ATL,35,2016,2055.088,694.912,-0.409615479,-0.338142211
Chester,Chris,G,78,2350,ATL,33,2016,4329.68655,-1979.68655,0.747451936,0.457235536
Weatherspoon,Sean,ILB,73,1500,ATL,28,2016,1584.5697,-84.5697,0.062376547,0.053370767
Upshaw,Courtney,OLB,78,1250,ATL,27,2016,2926.769114,-1676.769114,0.726118966,0.572907889
Wheeler,Philip,OLB,74,965,ATL,32,2016,2339.659946,-1374.659946,0.775645578,0.587546899
Harris,Bryce,RT,73,820,ATL,27,2016,1695.508917,-875.5089167,0.694281292,0.516369397
Compton,Tom,G,73,785,ATL,27,2016,2034.471028,-1249.471028,0.696894133,0.614150318
Reynolds,LaRoy,ILB,67,675,ATL,26,2016,948.5636216,-273.5636216,0.224631043,0.288397758
Soliai,Paul,DT,80,3500,CAR,32,2016,4315.043435,-815.0434348,0.295867851,0.188884179
Gradkowski,Gino,C,70,1050,CAR,28,2016,1083.15263,-33.15262963,0.042944194,0.030607533
Love,Kyle,DT,72,840,CAR,30,2016,1789.1422,-949.1422,0.700984639,0.530501265
Johnson,Leonard,CB,71,760,CAR,26,2016,1264.045347,-504.0453467,0.513248485,0.398755747
Fleener,Coby,TE,84,7200,NO,28,2016,5904,1296,-0.591378741,-0.219512195
Laurinaitis,James,ILB,73,2750,NO,30,2016,1584.5697,1165.4303,-0.859592945,-0.735486927
Robertson,Craig,ILB,78,1666.667,NO,28,2016,3141.69713,-1475.03013,0.596115808,0.469501059
Stupar,Nathan,OLB,71,1666.667,NO,28,2016,1378.5835,288.0835,-0.261246684,-0.208970657
Kruger,Paul,OLB,85,3000,NO,30,2016,5748.108222,-2748.108222,0.918743977,0.478089158
Fairley,Nick,DT,79,3000,NO,28,2016,3996.14128,-996.14128,0.360043342,0.249275791
McCown,Luke,QB,71,1500,NO,35,2016,2738.905774,-1238.905774,0.363563115,0.452336034
Nicks,Hakeem,WR,73,885,NO,28,2016,1358.910839,-473.9108393,0.481140632,0.348743145
Hightower,Tim,RB,73,840,NO,30,2016,853.4044528,-13.40445283,0.033077294,0.015707034
Cadet,Travaris,RB,71,840,NO,27,2016,741.015,98.985,-0.4099304,-0.133580292
Sweezy,J.R.,G,76,6500,TB,27,2016,3008.779893,3491.220107,-1.488834971,-1.160344137
Ayers,Robert,DE,84,6500,TB,31,2016,5570.226909,929.7730909,-0.32172718,-0.166918351
Grimes,Brent,CB,85,6750,TB,33,2016,5082.854571,1667.145429,-0.437032323,-0.327993926
Smith,Daryl,ILB,82,2500,TB,34,2016,4509.622583,-2009.622583,0.847331929,0.445629883
Robinson,Josh,CB,75,2000,TB,25,2016,2830.618075,-830.6180755,0.333372464,0.293440533
Shorts,Cecil,WR,73,1050,TB,29,2016,1358.910839,-308.9108393,0.313623458,0.227322375
Mathis,Evan,G,88,4006.9,ARI,35,2016,4959.354889,-952.4548889,0.28014282,0.192052174
Gresham,Jermaine,TE,84,3500,ARI,28,2016,5904,-2404,1.096971059,0.407181572
Johnson,Chris,RB,75,1500,ARI,31,2016,952.5397391,547.4602609,-0.920537875,-0.57473745
Bryant,Red,DE,73,965,ARI,32,2016,1867.801519,-902.8015185,0.756524586,0.483349815
Jenkins,Mike,CB,72,885,ARI,31,2016,1507.762689,-622.7626892,0.481039234,0.413037604
Sensabaugh,Coty,CB,71,4666.667,LA,28,2016,1264.045347,3402.621653,-3.464748597,-2.691850939
Sims,Eugene,DE,69,3333.333,LA,30,2016,1404.757064,1928.575936,-1.348005652,-1.372889296
Coples,Quinton,OLB,76,3250,LA,26,2016,2591.084235,658.9157647,-0.359797799,-0.254301175
Barnes,Tim,C,69,2750,LA,28,2016,1098.775375,1651.224625,-2.038943188,-1.502786341
Quick,Brian,WR,74,1750,LA,27,2016,1797.361636,-47.36163636,0.032953265,0.026350644
Thomas,Cam,DE,66,760,LA,30,2016,967.52622,-207.52622,0.181391812,0.214491572
Folkerts,Brian,C,67,675,LA,26,2016,961.7186818,-286.7186818,0.4398803,0.298131551
Easley,Dominique,DT,74,600,LA,24,2016,2007.068811,-1407.068811,1.07301374,0.701056587
Lane,Jeremy,CB,77,5750,SEA,26,2016,3499.626522,2250.373478,-0.720254411,-0.643032468
Kearse,Jermaine,WR,80,4500,SEA,26,2016,4084.537111,415.4628889,-0.139752071,-0.101716027
Webb,J'Marcus,RT,67,2875,SEA,28,2016,1152.574278,1722.425722,-1.554070715,-1.494416243
Clemons,Chris,DE,76,1500,SEA,35,2016,3216.607167,-1716.607167,0.747016074,0.533670131
Siliga,Sealver,DT,73,1050,SEA,27,2016,1892.33375,-842.33375,0.639116761,0.445129592
Sowell,Bradley,LT,74,1000,SEA,27,2016,2856.4136,-1856.4136,0.953933696,0.649910643
Browner,Brandon,CB,73,760,SEA,32,2016,1883.875145,-1123.875145,0.57403039,0.596576237
Michael,Christine,RB,71,725,SEA,26,2016,741.015,-16.015,0.066323537,0.021612248
Thorpe,Neiko,CB,68,675,SEA,26,2016,811.6217164,-136.6217164,0.309252301,0.168331765
Williams,Brandon,TE,66,675,SEA,29,2016,658.4472,16.5528,-0.053215651,-0.025139146
Beadles,Zane,G,73,3250,SF,30,2016,2034.471028,1215.528972,-0.677962906,-0.597466838
Martin,Keshawn,WR,68,1087.5,SF,26,2016,879.7763729,207.7236271,-0.331330495,-0.236109577
Jerod-Eddie,Tony,DE,68,1000,SF,26,2016,1227.369585,-227.3695849,0.174735263,0.185249486
Clay,Charles,TE,86,7600,BUF,27,2015,4835.022154,2764.977846,-0.968671245,-0.571864566
Easley,Marcus,WR,68,1750,BUF,28,2015,655.0145192,1094.985481,-4.937423724,-1.671696502
Harvin,Percy,WR,86,6000,BUF,28,2015,5789.175794,210.8242059,-0.064019526,-0.036416964
Taylor,Tyrod,QB,72,1116.667,BUF,27,2015,1683.369413,-566.702413,0.46110977,0.336647683
