Last Name,First Name,Position,Overall,Salary,Team,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Bell,Byron,RT,70.0,2250.0,TEN,2016.0,1338.78216,911.21784,-0.871813691564,-0.680631896081
Cassel,Matt,QB,70.0,2000.0,TEN,2016.0,2055.088,-55.088,0.032471589972,0.0268056647696
Blake,Antwon,CB,75.0,1500.0,TEN,2016.0,2830.61807547,-1330.61807547,0.534049811955,0.470080399402
Okung,Russell,LT,82.0,10600.0,DEN,2016.0,7377.20776923,3222.79223077,-1.0337694024,-0.436857999881
Stephenson,Donald,LT,72.0,4666.667,DEN,2016.0,1804.91381818,2861.75318182,-1.51147795535,-1.58553452968
Crick,Jared,DE,70.0,2000.0,DEN,2016.0,1452.00873171,547.991268293,-0.435918635087,-0.377402185212
Davis,Austin,QB,69.0,1250.0,DEN,2016.0,1757.65360606,-507.653606061,0.359363612799,0.288824603614
Norwood,Jordan,WR,70.0,880.0,DEN,2016.0,1102.87663934,-222.876639344,0.259182446407,0.202086644502
Graham,Garrett,TE,70.0,840.0,DEN,2016.0,900.530806452,-60.5308064516,0.12188572012,0.0672168081513
Winn,Billy,DE,67.0,760.0,DEN,2016.0,1213.22272549,-453.22272549,0.341366243249,0.373569268006
Watson,Dekoda,OLB,63.0,760.0,DEN,2016.0,651.788969697,108.211030303,-0.45188531995,-0.166021573445
Ross,Brandian,CB,72.0,675.0,DEN,2016.0,1507.76268919,-832.762689189,0.643249078732,0.552316816937
Schwartz,Mitchell,RT,86.0,6600.0,KC,2016.0,6900.5,-300.5,0.128623972372,0.0435475690167
Johnson,Derrick,ILB,90.0,7000.0,KC,2016.0,7902.643,-902.643,0.244862743513,0.114220394367
Howard,Jaye,DT,83.0,5000.0,KC,2016.0,5813.18493333,-813.184933333,0.234362257809,0.139886300309
Zombo,Frank,OLB,71.0,1200.0,KC,2016.0,1378.5835,-178.5835,0.161947307667,0.129541300908
Fleming,Jamell,S,66.0,840.0,KC,2016.0,681.746456522,158.253543478,-0.667787992702,-0.232129616464
Mulumba,Andy,OLB,67.0,620.0,KC,2016.0,809.012,-189.012,0.406260640451,0.233633122871
Osemele,Kelechi,G,89.0,11700.0,OAK,2016.0,5109.18822222,6590.81177778,-2.03199193747,-1.28999196959
Smith,Sean,CB,88.0,9500.0,OAK,2016.0,7980.38294118,1519.61705882,-0.349023490989,-0.190419065103
Irvin,Bruce,OLB,81.0,9250.0,OAK,2016.0,3395.98515385,5854.01484615,-2.21816496951,-1.72380460484
Penn,Donald,LT,87.0,5950.0,OAK,2016.0,8455.958375,-2505.958375,1.21215706385,0.296354152169
Smith,Aldon,OLB,85.0,5750.0,OAK,2016.0,5748.10822222,1.89177777778,-0.000632456693373,-0.000329113110721
Holmes,Andre,WR,73.0,2000.0,OAK,2016.0,1358.91083929,641.089160714,-0.650869358117,-0.471766904922
Moore,Damontre,DE,69.0,675.0,OAK,2016.0,1404.75706383,-729.75706383,0.510074105953,0.519489869544
Bates,Daren,ILB,61.0,675.0,OAK,2016.0,570.899263158,104.100736842,-1.4669005006,-0.182345193907
Benjamin,Travis,WR,78.0,6000.0,SD,2016.0,3503.999,2496.001,-0.969399366869,-0.712329255802
Hayward,Casey,CB,84.0,5100.0,SD,2016.0,4863.92086957,236.079130435,-0.062064049178,-0.0485367950601
Mebane,Brandon,DT,80.0,4500.0,SD,2016.0,4315.04343478,184.956565217,-0.0671408406631,-0.0428631989487
Slauson,Matt,G,84.0,1500.0,SD,2016.0,3261.18007692,-1761.18007692,0.577936376806,0.540043798681
Hairston,Chris,LT,69.0,1450.0,SD,2016.0,1057.08436364,392.915636364,-0.334796185525,-0.371697519971
Clemens,Kellen,QB,68.0,1065.0,SD,2016.0,1622.30268571,-557.302685714,0.394945390368,0.343525712323
Cumberland,Jeff,TE,72.0,840.0,SD,2016.0,1279.49034211,-439.490342105,0.4435961328,0.343488596703
Square,Damion,DE,62.0,725.0,SD,2016.0,628.814848485,96.1851515152,-0.688503565129,-0.152962595821
Thornton,Cedric,DE,78.0,4250.0,DAL,2016.0,3638.15957143,611.840428571,-0.248717409485,-0.168173060186
Hanna,James,TE,74.0,2750.0,DAL,2016.0,1542.87747059,1207.12252941,-1.07184648634,-0.78238392382
Morris,Alfred,RB,79.0,1750.0,DAL,2016.0,1880.03523684,-130.035236842,0.0813278092884,0.0691663827857
Wilber,Kyle,OLB,73.0,1625.0,DAL,2016.0,2014.2062,-389.2062,0.229447277959,0.193230563981
Claiborne,Morris,CB,70.0,3000.0,DAL,2016.0,1091.941375,1908.058625,-2.29174893985,-1.7474002439
Sanchez,Mark,QB,72.0,2000.0,DAL,2016.0,2784.85996429,-784.859964286,0.219702776862,0.281831034361
