Last Name,First Name,Position,Average Salary,Team
Zbikowski,Tom,S,1200000,BAL
Nakamura,Haruki,S,1200000,BAL
Smith,Torrey,WR,847308,BAL
Kruger,Paul,OLB,812500,BAL
Rice,Ray,RB,789750,BAL
Cody,Terrence,DT,765000,BAL
Reid,Jah,G,650810,BAL
Dickson,Ed,TE,625833,BAL
Doss,Tandon,WR,613140,BAL
Burgess,Prescott,LB,600000,BAL
Divens,Lamar,DT,600000,BAL
Smith,Marcus,WR,600000,BAL
Webb,Lardarius,CB,571507,BAL
Brown,Chykie,CB,546140,BAL
McPhee,Pernell,OLB,546140,BAL
Taylor,Tyrod,QB,536327,BAL
Pitta,Dennis,TE,528667,BAL
Ellerbe,Dannell,OLB,525000,BAL
Williams,Cary,CB,525000,BAL
Lawrence,Matt,RB,525000,BAL
Allen,Anthony,RB,522750,BAL
McAdoo,Michael,LB,466667,BAL
Williams,LaQuan,WR,465167,BAL
Cox,Morgan,LS,450000,BAL
Gorrer,Danny,CB,450000,BAL
Reed,David,WR,449633,BAL
Jones,Arthur,DT,449527,BAL
Brown,Colin,G,446000,BAL
Harewood,Ramon,G,429724,BAL
Cook,Emanuel,CB,405000,BAL
Bynes,Josh,ILB,375000,BAL
McClellan,Albert,ILB,375000,BAL
Kindle,Sergio,LB,375000,BAL
Boren,Justin,G,375000,BAL
Whitworth,Andrew,LT,9762500,CIN
Hall,Leon,CB,9750000,CIN
Smith,Andre,RT,7000000,CIN
Geathers,Robert,DE,5625000,CIN
Peko,Domata,DT,5553000,CIN
Clements,Nate,CB,5250000,CIN
Green,A.J.,WR,4922025,CIN
Benson,Cedric,RB,4500000,CIN
Rivers,Keith,OLB,3833333,CIN
Lawson,Manny,OLB,3500000,CIN
Cook,Kyle,C,3500000,CIN
Williams,Bobbie,G,2850000,CIN
Gresham,Jermaine,TE,2819000,CIN
Hall,Leon,CB,2720000,CIN
Bryant,Antonio,WR,2700000,CIN
Crocker,Chris,S,2500000,CIN
Howard,Thomas,LB,2500000,CIN
Gradkowski,Bruce,QB,2000000,CIN
Nelson,Reggie,S,1910000,CIN
Johnson,Brandon,LB,1650000,CIN
Fanene,Jonathan,DE,1600000,CIN
Rucker,Frostee,DT,1565222,CIN
Dalton,Andy,QB,1303550,CIN
Maualuga,Rey,ILB,1177750,CIN
Mays,Taylor,S,1015000,CIN
Leonard,Brian,RB,1000000,CIN
Scaife,Bo,TE,1000000,CIN
Dunlap,Carlos,DE,929950,CIN
Simpson,Jerome,WR,904250,CIN
Lee,Donald,TE,850000,CIN
Atkins,Geno,DT,801363,CIN
Moch,Dontay,DE,755416,CIN
Nugent,Mike,K,685000,CIN
Johnson,Michael,DE,653255,CIN
Adeyanju,Victor,DT,640000,CIN
Wade,Jonathan,CB,640000,CIN
