Jones,Donnie,905000,PHI,P
Jones,Felix,780000,PHI,RB
Golston,Kedric,1100000,WAS,DT
Davis,Fred,2500000,WAS,TE
Rocca,Sav,1120000,WAS,P
Biggers,E.J.,1500000,WAS,CB
Hall,DeAngelo,1250000,WAS,CB
Grossman,Rex,960000,WAS,QB
Barnett,Nick,940000,WAS,ILB
Tapp,Darryl,865000,WAS,DE
Kehl,Bryan,740000,WAS,ILB
Bushrod,Jermon,7193000,CHI,G
Bennett,Martellus,5100000,CHI,TE
Williams,D.J.,1750000,CHI,ILB
Anderson,James,1250000,CHI,OLB
Ellis,Sedrick,1000000,CHI,DT
Hayden,Kelvin,905000,CHI,CB
McCown,Josh,865000,CHI,QB
Slauson,Matt,815000,CHI,G
Fiammetta,Tony,780000,CHI,FB
Bowman,Zackary,780000,CHI,CB
Britton,Eben,715000,CHI,RT
Fluellen,Andre,715000,CHI,DT
Scott,Jonathan,715000,CHI,LT
Irvin,Corvey,630000,CHI,DT
Collins,Nate,630000,CHI,DT
Houston,Chris,5000000,DET,CB
Bush,Reggie,4000000,DET,RB
Jones,Jason,3166667,DET,DE
Mosley,C.J.,1375000,DET,DT
Owens,Montell,1250000,DET,FB
Akers,David,1005000,DET,K
Mathis,Rashean,940000,DET,CB
Idonije,Israel,905000,DET,DE
Gandy,Dylan,905000,DET,G
Muhlbach,Don,905000,DET,LS
Spievey,Amari,630000,DET,S
Jones,Brad,3750000,GB,ILB
Francois,Rob,725000,GB,ILB
Jennings,Greg,9000000,MIN,WR
Loadholt,Phillip,6250000,MIN,RT
Felton,Jerome,2500000,MIN,FB
Henderson,Erin,2000000,MIN,ILB
Berger,Joe,905000,MIN,C
Bishop,Desmond,850000,MIN,OLB
Mitchell,Marvin,815000,MIN,OLB
Olsen,Seth,670000,MIN,G
Kropog,Troy,630000,MIN,RT
Baker,Sam,6808333,ATL,LT
Jackson,Steven,4000000,ATL,RB
Umenyiora,Osi,4250000,ATL,OLB
Edwards,Dwan,1750000,CAR,DT
Blackburn,Chase,1025000,CAR,OLB
Hixon,Domenik,1162500,CAR,WR
Wharton,Travelle,1100000,CAR,G
GinnJr.,Ted,1100000,CAR,WR
Munnerlyn,Captain,1100000,CAR,CB
Mikell,Quintin,1005000,CAR,S
Florence,Drayton,1005000,CAR,CB
Anderson,Derek,840000,CAR,QB
Scott,Chris,630000,CAR,G
Lewis,Keenan,5110000,NO,CB
Watson,Benjamin,1650000,NO,TE
Butler,Victor,1500000,NO,OLB
Coleman,Kenyon,1005000,NO,DE
Roby,Courtney,905000,NO,WR
Carr,Chris,840000,NO,CB
McCown,Luke,840000,NO,QB
Smith,Jason,780000,NO,LT
Herring,Will,765000,NO,LB
Humber,Ramon,740000,NO,OLB
Meachem,Robert,715000,NO,WR
Landri,Derek,1375000,TB,DT
Crabtree,Tom,800000,TB,TE
Casillas,Jonathan,1400000,TB,OLB
Lindell,Rian,1005000,TB,K
Tynes,Lawrence,905000,TB,K
Orlovsky,Dan,905000,TB,QB
Kaeding,Nate,905000,TB,K
Economos,Andrew,905000,TB,LS
Smith,Steve,780000,TB,WR
Leonard,Brian,780000,TB,RB
Hillis,Peyton,715000,TB,RB
Cutrera,Jacob,650000,TB,ILB
Avril,Cliff,6500000,SEA,DE
Bennett,Michael,4800000,SEA,DE
Winfield,Antoine,2000000,SEA,CB
Jackson,Tarvaris,840000,SEA,QB
Dorsey,Glenn,3000000,SF,DE
Skuta,Dan,1500000,SF,OLB
Snyder,Adam,1225000,SF,G
Dawson,Phil,2350000,SF,K
Ventrone,Raymond,867500,SF,S
Haralson,Parys,1150000,SF,DE
Osgood,Kassim,940000,SF,WR
Wright,Eric,715001,SF,CB
Collie,Austin,715000,SF,WR
McBath,Darcel,630000,SF,S
