Last Name,First Name,Average Salary,Team,Position,Age
Bailey,Alvin,2000000,CLE,G,25
Paea,Stephen,1900000,CLE,DE,28
Colquitt,Britton,1700000,CLE,P,31
Hayden,Nick,760000,CLE,DT,30
Tuggle,Justin,700000,CLE,ILB,26
Patterson,Eric,525000,CLE,CB,23
Green,Ladarius,5000000,PIT,TE,26
Harris,Ryan,1995000,PIT,LT,31
Gradkowski,Bruce,965000,PIT,QB,33
Johnson,Steven,840000,PIT,ILB,28
Johnson,David,760000,PIT,TE,29
Mathews,Ricardo,760000,PIT,DT,29
Osweiler,Brock,18000000,HOU,QB,26
Allen,Jeff,7000000,HOU,G,26
Miller,Lamar,6500000,HOU,RB,25
Bergstrom,Tony,2875000,HOU,C,30
Weeden,Brandon,2000000,HOU,QB,33
Smith,Antonio,985000,HOU,DE,35
Grimes,Johnathan,900000,HOU,RB,27
Allen,Antonio,800000,HOU,CB,28
Carrington,Alex,760000,HOU,DT,29
Robinson,Patrick,4500000,IND,CB,29
Tolzien,Scott,1750000,IND,QB,29
Cromartie,Antonio,3000000,IND,CB,32
Ayers,Akeem,2600000,IND,OLB,27
Coffman,Chase,760000,IND,TE,30
Todman,Jordan,760000,IND,RB,26
Turbin,Robert,760000,IND,RB,27
Tyms,Brian,600000,IND,WR,27
Jackson,Malik,14250000,JAC,DT,26
Beachum,Kelvin,9000000,JAC,LT,26
Ivory,Chris,6400000,JAC,RB,28
Lewis,Marcedes,4000000,JAC,TE,32
Nortman,Brad,2200000,JAC,P,27
Bernadeau,Mackenzy,1500000,JAC,C,30
Linkenbach,Jeff,810000,JAC,RT,29
Werner,Bjoern,755000,JAC,OLB,26
Omameh,Patrick,675000,JAC,G,26
Jones,Ben,4375000,TEN,C,27
Matthews,Rishard,5000000,TEN,WR,27
Woods,Al,3500000,TEN,DT,29
Johnson,Andre,1867500,TEN,WR,35
Spence,Sean,2500000,TEN,ILB,26
Bell,Byron,2250000,TEN,RT,27
Cassel,Matt,2000000,TEN,QB,34
Blake,Antwon,1500000,TEN,CB,26
Okung,Russell,10600000,DEN,LT,29
Stephenson,Donald,4666667,DEN,LT,28
Crick,Jared,2000000,DEN,DE,27
Davis,Austin,1250000,DEN,QB,27
Norwood,Jordan,880000,DEN,WR,30
Graham,Garrett,840000,DEN,TE,30
Melton,Henry,760000,DEN,DT,30
Winn,Billy,760000,DEN,DE,27
Watson,Dekoda,760000,DEN,OLB,28
Ross,Brandian,675000,DEN,CB,27
Schwartz,Mitchell,6600000,KC,RT,27
Johnson,Derrick,7000000,KC,ILB,34
Howard,Jaye,5000000,KC,DT,28
Zombo,Frank,1200000,KC,OLB,29
Foles,Nick,1750000,KC,QB,27
Fleming,Jamell,840000,KC,S,27
Mulumba,Andy,620000,KC,OLB,26
Osemele,Kelechi,11700000,OAK,G,27
Smith,Sean,9500000,OAK,CB,29
Irvin,Bruce,9250000,OAK,OLB,29
Penn,Donald,5950000,OAK,LT,33
Smith,Aldon,5750000,OAK,OLB,27
Holmes,Andre,2000000,OAK,WR,28
Moore,Damontre,675000,OAK,DE,24
Bates,Daren,675000,OAK,ILB,26
East,Andrew,450000,OAK,LS,25
Benjamin,Travis,6000000,SD,WR,26
Hayward,Casey,5100000,SD,CB,27
Mebane,Brandon,4500000,SD,DT,31
Slauson,Matt,1500000,SD,G,30
Hairston,Chris,1450000,SD,LT,27
Clemens,Kellen,1065000,SD,QB,33
Jones,James,885000,SD,WR,32
Cumberland,Jeff,840000,SD,TE,29
